"name","description"
"get_call_graph","Builds a forward call graph from a method: shows what that method calls, what those callees call, and so on up to maxDepth levels (default 3). Only follows calls into methods with source locations in the solution (not BCL/NuGet). Returns a CallGraphNode tree: MethodName, ContainingType, FilePath, Line, Callees. Already-visited methods appear as leaf nodes to prevent cycles."
"find_inconsistent_async_suffix","Finds async methods not ending with 'Async', and non-async methods that end with 'Async'. Excludes event handlers."
"find_large_methods","Finds methods exceeding a line count threshold across the solution or a specific project. Returns MethodName, TypeName, FilePath, and LineCount. Methods over 50 lines are too large to modify safely without reading in full — they are also prime extract-method candidates. Default threshold is 50 lines."
"find_internal_classes_that_could_be_private","Identifies internal classes that are only used in a single file and could be made private, optionally filtered by project."
"sort_and_deduplicate_usings","Sorts using directives (System.* first, then alphabetical) AND removes exact
duplicates in a single operation, writing the result directly to disk.

FILLS GAP between two standard tools:
  • sort_usings     → sorts but does NOT remove duplicates
  • remove_unused_usings → removes unused usings, but a duplicate that is
                           ""used"" (both copies resolve) won't be removed

This tool handles the case where a file legitimately has two identical using
directives (e.g., a merge conflict or copy-paste artifact) and you want both
sorted AND deduplicated in one step.

Parameters:
  filePath    — absolute path to the .cs file to clean
  writeToFile — true (default) = writes sorted/deduped content to disk immediately
                false = preview mode, returns UpdatedContent without writing

Returns: OriginalCount, RemovedDuplicates, UpdatedContent, WrittenToDisk."
"read_plan","Reads a migration or refactor plan file from the solution's docs/plans/ directory. Only bare filenames are accepted; only documentation extensions are permitted."
"propagate_cancellation_token_in_file","Propagates CancellationToken parameters to all eligible call sites across all methods
in a file. For each method that has a CancellationToken parameter, applies the same
logic as propagate_cancellation_token_in_method. Methods without a CT parameter are
skipped silently. Returns aggregated per-method results and a staged change-set.

Parameters:
  filePath    — absolute path to the source file.
  methodNames — optional array of method names to restrict processing (null = all eligible).
  autoStage   — when true (default), stages the changes and returns a ChangeId.

Returns PropagateCtFileResult with:
  PerMethod        — one PropagateCtResult per method processed.
  TotalForwarded   — total call sites rewritten across all methods.
  TotalSkipped     — total call sites skipped across all methods.
  MethodsProcessed — count of methods that had a CT param and were processed.
  MethodsSkipped   — count of methods without a CT param (or filtered out).
  ChangeId         — staged change id (null if autoStage=false or no changes)."
"find_object_creation_sites","Finds all object creation sites (new T(...) and implicit new(...)) for a given type name substring match, optionally scoped to a file or project. Returns file path, line, column, resolved type name, containing method, and argument count. Set sortByFrequency=true to rank results by how often each resolved type is instantiated — useful when the typeName is broad (e.g. 'Exception') and you want the most-created types first. Supports both explicit 'new Foo()' and implicit 'new()' syntax with type inference from context."
"convert_property_to_methods","Converts a property into formal GetX() and SetX() methods."
"find_unawaked_dispose","Detects DisposeAsync() calls that are not awaited. In a synchronous Dispose() method or any context without await, the ValueTask returned by DisposeAsync() is discarded — async cleanup (file flushes, connection teardown) finishes after the method returns, leaving resources dangling."
"make_method_thread_safe","Adds a private lock object field and wraps a method body in a lock statement. Specify lockFieldName if '_lock' is already used for another type. Returns the updated source as a string. Does NOT write to disk or update the workspace. Pass the result to apply_proposed_changes to save."
"get_project_framework_summary","Returns a summary of every project's TargetFramework value. Use this before check_project_consistency to see the full framework landscape across the solution."
"find_value_type_mutation_intent","Flags methods that reassign a parameter inside the method body in a way that
is invisible to the caller. Two warning patterns detected:

ValueTypeParameterReassigned: A value-type parameter (int, bool, struct, enum)
is reassigned but not returned — the caller's copy is unaffected. Use 'ref' or
return the value if caller visibility was the intent.

ReferenceTypeParameterReplaced: A reference-type parameter is replaced with a
new instance (new ...) but not returned. The caller's reference still points to
the original object.

Parameters with 'ref', 'out', or 'in' modifiers are excluded. No auto-fix —
these require developer judgement about intent."
"check_for_unused_event_subscriptions","Scans a file for event subscriptions that are never unsubscribed, potential memory leaks."
"run_uplift_batch","Uplifts callers of an Asyncify-bridge sync wrapper to use the async overload directly.
Uses in-memory Roslyn compilation for validation — no MSBuild required.
For each caller of the named bridged method:
  1. Bridges the caller (convert_to_async_bridge) to create callerAsync(CancellationToken).
  2. Rewrites the callerAsync body: bridgedMethod(args) → await bridgedMethodAsync(args, ct).
  3. If propagateCancellationTokens=true: propagates CT to all other async callees in callerAsync.
  4. Validates in-memory.
  5. On success: writes the file to disk.
  6. On error: flags the caller [MigrationCandidate(""NeedsManualReview"")] and continues.

Parameters:
  bridgedMethodName              — name of the already-bridged sync method (e.g. ""search"").
                                   The async counterpart is assumed to be bridgedMethodName + ""Async"".
  projectName                    — restrict caller scan to one project (null = entire solution).
  maxCallers                     — max caller methods to process this call (default 10).
  dryRun                         — when true, reports what would happen without writing files.
  propagateCancellationTokens    — when true (default), also propagates the CT parameter to
                                   other async callees in the new async overload.

Returns UpliftBatchResult with:
  Uplifted         — callers successfully uplifted and written to disk.
  Skipped          — callers that failed (each flagged NeedsManualReview where possible).
  RemainingCallers — count of callers still pending after this batch.
  StopReason       — ""batch_complete"" | ""budget_exhausted"" | ""no_callers"" | ""dry_run""."
"format_document_safe","FORMAT_DOCUMENT_SAFE — Roslyn formatter with true preview support.

FIXES MS BUG: The standard format_document tool has no preview parameter at all.
Changes are always applied immediately. There is no way to see what would change
before committing.

This tool fixes that by defaulting preview=true:
  • preview=true  (default) → returns formatted content WITHOUT writing to disk
  • preview=false            → writes to disk and updates the in-memory workspace

Use preview=true first to verify the formatted output is as expected,
then call again with preview=false to apply.

Parameters:
  filePath  — absolute path to the .cs file to format
  preview   — true (default) = read-only, false = apply to disk"
